position,record_id,title,issue_date,summary,source,stock_code,stock_name,relate_id,proc_id,mark_id
1,5563316,日本内阁府调查:逾七成认为政府应加强应对物价政策,2025-09-28 15:16:21,"日本内阁府调查显示,73%受访者认为政府应加强物价对策,凸显民众对持续上涨的食品价格担忧。此次民调覆盖5000名18岁以上民众,同时有64%支持完善社会保障,59%关注经济景气对策。分析指出,大米等食品价格飙升或为主要影响因素。数据显示,9月15日至21日,日本5公斤装大米平均售价达4246日元,连续三周超4000日元,反映生活成本压力加剧。",格隆汇,,,20027140,1,1
2,5563315,"美国日均原油产量超1300万桶,得州和新墨西哥州贡献近六成",2025-09-28 15:14:56,"2024年美国日均原油产量达1323.5万桶,进入历史性繁荣期。得克萨斯州与新墨西哥州为最大产油州,日产量分别为567.5万桶和202.3万桶,合计占全国总产量超58%。墨西哥湾海上产区日产量约180万桶,位居全国第三。而宾夕法尼亚州、伊利诺伊州等传统产油州现产量锐减,日均均不足2万桶,已属最低行列。",格隆汇,,,20027139,1,1
3,5563314,生意社:供应高位成本支撑 锰硅行情小幅震荡上行,2025-09-28 15:11:38,"本月硅锰期货震荡上行,现货价格跟随上涨,宁夏地区报价5650-5750元/吨,均价5700元/吨,环比涨1.1%。供应端高位持稳,9月产量预计维持高位,但开工率微降;库存方面,企业库存环比增3.49万吨至23.38万吨,其中宁夏增幅明显。需求端铁水产量恢复但增长乏力,钢厂补库谨慎,库存仍处低位。成本端锰矿发运量回升,港口库存同比仍偏低,外盘报价上调,支撑矿价挺稳。综合看,供应稳定、需求受限,成本支撑较强,预计锰硅价格短期将窄幅震荡。",生意社,,,20027138,0,1
4,5563309,"智象未来签约金华市婺城区,携手共建多模态AI产业高地",2025-09-28 15:06:56,"2025年9月26日,智象未来(合肥)信息技术有限公司与金华市婺城区政府签约,落地多模态生成式AI技术,推动AI与实体经济深度融合。双方将聚焦AI+商贸、AI+影视、AI+文旅等场景,赋能义乌国际商贸和横店影视等特色产业,实现创作全流程智能化。此次合作标志着技术成果在浙中区域转化落地,助力构建区域性AI产业生态,为金华打造多模态AI产业高地提供支撑。",格隆汇,,,20027132,1,1
5,5563311,贸促会:美国反复调整关税政策致7月全球经贸摩擦再升温,2025-09-28 15:04:09,"7月全球经贸摩擦指数升至110,同比、环比分别上升6.6%和27.6%,受美国关税政策反复影响持续升温。美国、欧盟、巴西位居摩擦指数前三,美国涉摩擦金额连续13个月居首。电子、化工、运输设备等13个行业成摩擦焦点,其中电子行业指数最高。涉华摩擦指数达107,处于高位,美国涉华摩擦最突出,无人机、太阳能电池、人工智能芯片等电子领域压力显著。涉华措施金额环比上升11.9%,同比降16.4%。",中国新闻网,,,20027135,1,1
1,5563307,002276证券简称(002276证券简称)2025年9月28日投资者关系活动主要内容,2025-09-28 15:02:10,"浙江万马股份有限公司于2025年9月28日在杭州举行投资者关系活动,参与单位名称及人员有中景润集团:朱力、缪天凯世富乐资管:李云鹏广发证券:曹瑞元、黄冰、任杰,上市公司接待人员有公司副总经理、董事会秘书:赵宇恺,证券事务助理:王旭斐。",深交所互动易,,,20027129,1,5
2,5563304,"研报掘金丨华创证券:予康龙化成“推荐”评级,目标价47.73元",2025-09-28 15:01:36,"华创证券首次覆盖康龙化成,称其为全流程、一体化、国际化、多疗法全球药物研发领军企业,实验室服务、小分子CDMO、临床CRO及大分子与细胞基因治疗业务均具强劲增长潜力。基于公司全球竞争优势及行业前景,给予2026年40倍PE,目标价47.73元;港股目标价39.34港元(对应30倍PE),首次给予“推荐”评级。",格隆汇,,,20027127,0,1
8,5563310,茅台估值新思:段永平强调“客观”的重要性,2025-09-28 15:00:32,"段永平提出,评估茅台价值应聚焦其高确定性与长期现金流能力,而非过度依赖复杂折现模型。他采用1.5%保守贴现率,与国债收益率对比,认为茅台估值具备性价比。核心在于准确预测企业盈利而非纠结参数,强调客观理性投资,摒弃情绪干扰。茅台凭借品牌护城河、稳定盈利与强现金流,长期有望跑赢通胀。其文化稀缺性与商业价值结合,构成独特壁垒。投资者应以年为单位看待其价值,关注内在价值而非短期波动。在优质资产稀缺背景下,茅台作为高确定性资产值得长期关注。",证券之星,,,20027134,0,1
9,5563312,"本周超1000亿资金涌进ETF,股票ETF净流入近300亿,中证A500罕见“吸金”",2025-09-28 15:00:28,"本周A股市场震荡分化,科创类指数领涨,创业板指创历史新高,但成交量回落至2-2.4万亿。电力设备、电子、半导体等科技板块强势,消费类板块回调。ETF市场净流入1144.85亿元,科创债ETF上市首日吸金超600亿元,半导体、机器人等主题ETF获资金青睐,而沪深300、科创50等宽基ETF净流出。半导体设备ETF涨幅超16%,旅游ETF跌超6%。新发ETF21只,其中14只为科创债ETF,总发行规模62.97亿元。加密货币ETF单周流出超17亿美元,黄金受避险需求推动,有望连续第三个季度上涨。",格隆汇,,,20027136,1,1
3,5563288,浙江娃哈哈饮用水有限公司销售权被“夺” 订单被转至宏胜饮料孙公司,2025-09-28 14:58:05,"娃哈哈集团桶装水业务将发生重大调整,据知情人士透露,2024年底,董事长宗馥莉要求将浙江娃哈哈饮用水有限公司的桶装水销售业务转移至杭州迅尔城通商贸有限公司,计划于2025年3月25日落地。2025年4月,经销商在未签署购销协议的情况下,已向迅尔城通下单、发货并开票,实质完成业务转移。此举引发市场关注,或涉及渠道重构与业务整合。",财联社,,,20027105,1,1
4,5563289,8部门:适时丰富重要有色金属期货交易品种和金融衍生品种,2025-09-28 14:57:40,"格隆汇9月28日|工信部等八部门发布的《有色金属行业稳增长工作方案(2025—2026年)》中提到,统筹利用超长期特别国债等现有资金渠道,支持有色金属资源开发、高端材料攻关、节能减污降碳、数字化改造等。用好新材料首批次保险补偿等政策,支持初期市场培育。适时丰富重要有色金属期货交易品种和金融衍生品种。做好重要品种国家储备。加强相关国有企业考核引导,更多鼓励资源开发、技术创新和成果转化。",格隆汇,,,20027106,1,1
12,5563313,中金:主动外资流出A股及海外中资股扩大 被动外资低配中国程度微降,2025-09-28 14:56:25,"主动外资连续流出A股与海外中资股,分别达0.7亿与2.4亿美元,流出扩大;被动外资持续流入,A股与海外中资股分别流入10.5亿与20.7亿美元。截至8月,主动外资中国配置比例升至6.7%,被动资金达8%,低配程度收窄但仍高于6月。南向资金加速流入,周净流入439.6亿港元。市场预计高位震荡,结构分化明显,关注AI硬件应用、中美映射及铜矿供给扰动等事件催化。互联网与银行交易升温,资金或转向“高切低”,但顺周期与消费仍需政策与基本面支撑。",智通财经,,,20027137,1,1
5,5563287,"陈茂波:港股新股集资总额今年已接近1500亿港元,全球排首位",2025-09-28 14:56:11,"今年以来,香港金融市场表现强劲,IPO集资额近1500亿港元,居全球首位,国际长线资金参与度提升。恒生指数累计上涨超30%,日均成交额突破2500亿港元,创历史新高。首8个月再融资额达IPO集资额的近3倍,凸显市场深度。港股活跃带动A股联动,14家H股在港上市后,其A股日均成交额平均上升28%,股价平均上涨15%。优质内地企业赴港上市,既助力其国际化布局,也推动香港与内地资本市场协同发展,实现双向赋能。",格隆汇,,,20027104,1,1
6,5563308,"胖东来今年前9个月销售额达170亿元,此前于东来称2025年要控制在200亿以内",2025-09-28 14:54:17,"格隆汇9月28日丨据每经,9月28日许昌胖东来公布最新销售数据,截至9月27日,其2025年销售额已达170.32亿元,月均18.88亿元,超2024年全年。创始人于东来曾表示要控制规模在200亿元以内,但按目前情况,11月底就会突破。此外,针对“月饼礼盒设计费一千万元”传闻,胖东来回应称实际中秋月饼礼盒9款设计费372万元,21款散饼包装设计费42万元。",格隆汇,,,20027131,1,1
